,title,id,genres,cast,keywords,plot,word_soup
44,Furious 7,168259,['action'],"['vindiesel', 'paulwalker', 'dwaynejohnson']","['carrace', 'speed', 'revenge']",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,carrace speed revenge action vindiesel paulwalker dwaynejohnson
45,World War Z,72190,"['action', 'drama', 'horror']","['bradpitt', 'mireilleenos', 'abigailhargrove']","['dystopia', 'apocalypse', 'zombie']","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",dystopia apocalypse zombie action drama horror bradpitt mireilleenos abigailhargrove
46,X-Men: Days of Future Past,127585,"['action', 'adventure', 'fantasy']","['hughjackman', 'jamesmcavoy', 'michaelfassbender']","['1970s', 'mutant', 'timetravel']",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,1970s mutant timetravel action adventure fantasy hughjackman jamesmcavoy michaelfassbender
47,Star Trek Into Darkness,54138,"['action', 'adventure', 'sciencefiction']","['chrispine', 'zacharyquinto', 'zoesaldana']","['spacecraft', 'friendship', 'sequel']","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",spacecraft friendship sequel action adventure sciencefiction chrispine zacharyquinto zoesaldana
48,Jack the Giant Slayer,81005,"['action', 'family', 'fantasy']","['nicholashoult', 'eleanortomlinson', 'ewanmcgregor']","['basedonfairytale', 'giant']","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",basedonfairytale giant action family fantasy nicholashoult eleanortomlinson ewanmcgregor
49,The Great Gatsby,64682,"['drama', 'romance']","['leonardodicaprio', 'tobeymaguire', 'careymulligan']","['basedonnovel', 'infidelity', 'obsession']","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",basedonnovel infidelity obsession drama romance leonardodicaprio tobeymaguire careymulligan
50,Prince of Persia: The Sands of Time,9543,"['adventure', 'fantasy', 'action']","['jakegyllenhaal', 'gemmaarterton', 'benkingsley']","['persia', 'sandstorm', 'brotheragainstbrother']","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",persia sandstorm brotheragainstbrother adventure fantasy action jakegyllenhaal gemmaarterton benkingsley
51,Pacific Rim,68726,"['action', 'sciencefiction', 'adventure']","['idriselba', 'charliehunnam', 'charlieday']","['dystopia', 'giantrobot', 'giantmonster']","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",dystopia giantrobot giantmonster action sciencefiction adventure idriselba charliehunnam charlieday
52,Transformers: Dark of the Moon,38356,"['action', 'sciencefiction', 'adventure']","['shialabeouf', 'johnmalkovich', 'kenjeong']","['moon', 'spacecraft', 'traitor']","Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",moon spacecraft traitor action sciencefiction adventure shialabeouf johnmalkovich kenjeong
53,Indiana Jones and the Kingdom of the Crystal Skull,217,"['adventure', 'action']","['harrisonford', 'cateblanchett', 'shialabeouf']","['savingtheworld', 'riddle', 'whip']","Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",savingtheworld riddle whip adventure action harrisonford cateblanchett shialabeouf
54,The Good Dinosaur,105864,"['adventure', 'animation', 'family']","['raymondochoa', 'jackbright', 'jeffreywright']","['tyrannosaurusrex', 'friends', 'alternatehistory']",An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,tyrannosaurusrex friends alternatehistory adventure animation family raymondochoa jackbright jeffreywright
55,Brave,62177,"['animation', 'adventure', 'comedy']","['kellymacdonald', 'juliewalters', 'billyconnolly']","['scotland', 'rebel', 'bravery']","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",scotland rebel bravery animation adventure comedy kellymacdonald juliewalters billyconnolly
56,Star Trek Beyond,188927,"['action', 'adventure', 'sciencefiction']","['chrispine', 'zacharyquinto', 'karlurban']","['sequel', 'stranded', 'hatred']","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",sequel stranded hatred action adventure sciencefiction chrispine zacharyquinto karlurban
57,WALL·E,10681,"['animation', 'family']","['benburtt', 'elissaknight', 'jeffgarlin']",['romanticcomedy'],"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",romanticcomedy animation family benburtt elissaknight jeffgarlin
58,Rush Hour 3,5174,"['action', 'comedy', 'crime']","['christucker', 'jackiechan', 'hiroyukisanada']",['ambassador'],"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",ambassador action comedy crime christucker jackiechan hiroyukisanada
